第1组,#genre#
CCTV5,http://116.117.106.4:8096/tsfile/live/0005_1.m3u8
CCTV7,http://116.117.106.4:8096/tsfile/live/0007_1.m3u8
CCTV14,http://116.117.106.4:8096/tsfile/live/0014_1.m3u8
湖南卫视,http://116.117.106.4:8096/tsfile/live/0128_1.m3u8
湖南卫视,http://116.117.106.4:8096/tsfile/live/0128_1.m3u8
北京卫视,http://116.117.106.4:8096/tsfile/live/0122_1.m3u8
广东卫视,http://116.117.106.4:8096/tsfile/live/0125_1.m3u8
东南卫视,http://116.117.106.4:8096/tsfile/live/0137_1.m3u8
广西卫视,http://116.117.106.4:8096/tsfile/live/0113_1.m3u8
深圳卫视,http://116.117.106.4:8096/tsfile/live/0126_1.m3u8
贵州卫视,http://116.117.106.4:8096/tsfile/live/0120_1.m3u8
IPTV6+,http://116.117.106.4:8096/tsfile/live/1010_1.m3u8
上海卫视,http://116.117.106.4:8096/tsfile/live/0107_1.m3u8
第18组,#genre#
CCTV8,http://116.117.106.40:8096/tsfile/live/0008_1.m3u8
CCTV9,http://116.117.106.40:8096/tsfile/live/0009_1.m3u8
CCTV11,http://116.117.106.40:8096/tsfile/live/0011_1.m3u8
山西卫视,http://116.117.106.40:8096/tsfile/live/0118_1.m3u8
兵团卫视,http://116.117.106.40:8096/tsfile/live/0115_1.m3u8
IPTV6+,http://116.117.106.40:8096/tsfile/live/1010_1.m3u8
内蒙古,http://116.117.106.40:8096/tsfile/live/0018_1.m3u8
第19组,#genre#
CCTV2,http://116.117.106.45:8096/tsfile/live/0002_1.m3u8
广东卫视,http://116.117.106.45:8096/tsfile/live/0125_1.m3u8
东南卫视,http://116.117.106.45:8096/tsfile/live/0137_1.m3u8
湖北卫视,http://116.117.106.45:8096/tsfile/live/0132_1.m3u8
深圳卫视,http://116.117.106.45:8096/tsfile/live/0126_1.m3u8
第20组,#genre#
CCTV5,http://116.117.106.52:8096/tsfile/live/0005_1.m3u8
CCTV6,http://116.117.106.52:8096/tsfile/live/0006_1.m3u8
湖南卫视,http://116.117.106.52:8096/tsfile/live/0128_1.m3u8
湖南卫视,http://116.117.106.52:8096/tsfile/live/0128_1.m3u8
浙江卫视,http://116.117.106.52:8096/tsfile/live/0124_1.m3u8
江苏卫视,http://116.117.106.52:8096/tsfile/live/0127_1.m3u8
黑龙江卫视,http://116.117.106.52:8096/tsfile/live/0143_1.m3u8
河南卫视,http://116.117.106.52:8096/tsfile/live/0139_1.m3u8
广西卫视,http://116.117.106.52:8096/tsfile/live/0113_1.m3u8
内蒙古,http://116.117.106.52:8096/tsfile/live/0018_1.m3u8
第21组,#genre#
CCTV13,http://116.117.106.62:8096/tsfile/live/0013_1.m3u8
CCTV14,http://116.117.106.62:8096/tsfile/live/0014_1.m3u8
北京卫视,http://116.117.106.62:8096/tsfile/live/0122_1.m3u8
江西卫视,http://116.117.106.62:8096/tsfile/live/0138_1.m3u8
山东卫视,http://116.117.106.62:8096/tsfile/live/0131_1.m3u8
山西卫视,http://116.117.106.62:8096/tsfile/live/0118_1.m3u8
河南卫视,http://116.117.106.62:8096/tsfile/live/0139_1.m3u8
湖北卫视,http://116.117.106.62:8096/tsfile/live/0132_1.m3u8
四川卫视,http://116.117.106.62:8096/tsfile/live/0123_1.m3u8
兵团卫视,http://116.117.106.62:8096/tsfile/live/0115_1.m3u8
宁夏卫视,http://116.117.106.62:8096/tsfile/live/0112_1.m3u8
IPTV6+,http://116.117.106.62:8096/tsfile/live/1010_1.m3u8
上海卫视,http://116.117.106.62:8096/tsfile/live/0107_1.m3u8
内蒙古,http://116.117.106.62:8096/tsfile/live/0018_1.m3u8
第22组,#genre#
CCTV2,http://116.117.106.7:8096/tsfile/live/0002_1.m3u8
CCTV3,http://116.117.106.7:8096/tsfile/live/0003_1.m3u8
CCTV9,http://116.117.106.7:8096/tsfile/live/0009_1.m3u8
北京卫视,http://116.117.106.7:8096/tsfile/live/0122_1.m3u8
辽宁卫视,http://116.117.106.7:8096/tsfile/live/0121_1.m3u8
