秒换台465.94,#genre#
哈哈炫动,http://119.125.130.175:9901/tsfile/live/1033_1.m3u8
秒换台878.62,#genre#
CHC动作电影,http://119.125.104.140:9901/tsfile/live/1028_1.m3u8
CHC电影,http://119.125.104.140:9901/tsfile/live/1023_1.m3u8
CCTV1,http://119.125.104.140:9901/tsfile/live/0001_1.m3u8
CCTV2,http://119.125.104.140:9901/tsfile/live/0002_1.m3u8
CCTV3,http://119.125.104.140:9901/tsfile/live/0003_1.m3u8
CCTV4,http://119.125.104.140:9901/tsfile/live/0004_1.m3u8
CCTV5,http://119.125.104.140:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://119.125.104.140:9901/tsfile/live/0016_1.m3u8
CCTV6,http://119.125.104.140:9901/tsfile/live/0006_1.m3u8
CCTV7,http://119.125.104.140:9901/tsfile/live/0007_1.m3u8
CCTV8,http://119.125.104.140:9901/tsfile/live/0008_1.m3u8
CCTV9,http://119.125.104.140:9901/tsfile/live/0009_1.m3u8
CCTV10,http://119.125.104.140:9901/tsfile/live/0010_1.m3u8
CCTV11,http://119.125.104.140:9901/tsfile/live/0011_1.m3u8
CCTV12,http://119.125.104.140:9901/tsfile/live/0012_1.m3u8
CCTV13,http://119.125.104.140:9901/tsfile/live/0013_1.m3u8
CCTV14,http://119.125.104.140:9901/tsfile/live/0014_1.m3u8
CCTV15,http://119.125.104.140:9901/tsfile/live/0015_1.m3u8
CCTV16,http://119.125.104.140:9901/tsfile/live/1008_1.m3u8
北京卫视,http://119.125.104.140:9901/tsfile/live/1039_1.m3u8
吉林卫视,http://119.125.104.140:9901/tsfile/live/1051_1.m3u8
东南卫视,http://119.125.104.140:9901/tsfile/live/1050_1.m3u8
天津卫视,http://119.125.104.140:9901/tsfile/live/1040_1.m3u8
四川卫视,http://119.125.104.140:9901/tsfile/live/1047_1.m3u8
云南卫视,http://119.125.104.140:9901/tsfile/live/0119_1.m3u8
兵团卫视,http://119.125.104.140:9901/tsfile/live/0115_1.m3u8
内蒙古卫视,http://119.125.104.140:9901/tsfile/live/0109_1.m3u8
CGTN,http://119.125.104.140:9901/tsfile/live/1018_1.m3u8
CHC家庭电影,http://119.125.104.140:9901/tsfile/live/1027_1.m3u8
三沙卫视,http://119.125.104.140:9901/tsfile/live/1020_1.m3u8
上海卫视,http://119.125.104.140:9901/tsfile/live/1037_1.m3u8
上海纪实,http://119.125.104.140:9901/tsfile/live/1055_1.m3u8
中国教育,http://119.125.104.140:9901/tsfile/live/1052_1.m3u8
佳嘉卡通,http://119.125.104.140:9901/tsfile/live/1030_1.m3u8
凤凰中文,http://119.125.104.140:9901/tsfile/live/1019_1.m3u8
南方卫视,http://119.125.104.140:9901/tsfile/live/1015_1.m3u8
卡酷少儿,http://119.125.104.140:9901/tsfile/live/1031_1.m3u8
厦门卫视,http://119.125.104.140:9901/tsfile/live/0129_1.m3u8
哈哈炫动,http://119.125.104.140:9901/tsfile/live/1033_1.m3u8
秒换台1167.11,#genre#
CCTV1,http://124.231.213.254:9999/tsfile/live/0001_1.m3u8
CCTV2,http://124.231.213.254:9999/tsfile/live/0002_1.m3u8
CCTV3,http://124.231.213.254:9999/tsfile/live/0003_1.m3u8
CCTV4,http://124.231.213.254:9999/tsfile/live/0004_1.m3u8
CCTV5,http://124.231.213.254:9999/tsfile/live/0005_1.m3u8
CCTV5+,http://124.231.213.254:9999/tsfile/live/1114_1.m3u8
CCTV6,http://124.231.213.254:9999/tsfile/live/0006_1.m3u8
CCTV7,http://124.231.213.254:9999/tsfile/live/0007_1.m3u8
CCTV8,http://124.231.213.254:9999/tsfile/live/0008_1.m3u8
CCTV9,http://124.231.213.254:9999/tsfile/live/0009_1.m3u8
CCTV10,http://124.231.213.254:9999/tsfile/live/0010_1.m3u8
CCTV11,http://124.231.213.254:9999/tsfile/live/0011_1.m3u8
CCTV12,http://124.231.213.254:9999/tsfile/live/0012_1.m3u8
CCTV13,http://124.231.213.254:9999/tsfile/live/0013_1.m3u8
CCTV14,http://124.231.213.254:9999/tsfile/live/0014_1.m3u8
CCTV15,http://124.231.213.254:9999/tsfile/live/0015_1.m3u8
CCTV16,http://124.231.213.254:9999/tsfile/live/1084_1.m3u8
CCTV17,http://124.231.213.254:9999/tsfile/live/0019_1.m3u8
北京卫视,http://124.231.213.254:9999/tsfile/live/0122_1.m3u8
吉林卫视,http://124.231.213.254:9999/tsfile/live/0116_1.m3u8
东南卫视,http://124.231.213.254:9999/tsfile/live/0137_1.m3u8
天津卫视,http://124.231.213.254:9999/tsfile/live/0135_1.m3u8
四川卫视,http://124.231.213.254:9999/tsfile/live/0123_1.m3u8
云南卫视,http://124.231.213.254:9999/tsfile/live/0119_1.m3u8
内蒙古卫视,http://124.231.213.254:9999/tsfile/live/0109_1.m3u8
上海卫视,http://124.231.213.254:9999/tsfile/live/0107_1.m3u8
